PB_DETAIL_TEXT,PB_CHOI1_TEXT,PB_CHOI2_TEXT,PB_CHOI3_TEXT,PB_CHOI4_TEXT
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"- 서비스 호출, 컴포넌트 재사용 등 다양한 환경을 지원하는 테스트 프레임워크
- 각 테스트 대상 분산 환경에 데몬을 사용하며 테스트 대상 프로그램을 통해 테스트를 수행하고, 통합하며 자동화하는 검증 도구",,,,
,,,,
"```
         +
        / \
       *   E
      / \
     *   D
    / \
   /   C
  / \
 A   B
```

",,,,
,,,,
"```
평가 점수   성적
80~100     A
60~79      B
0~59       C
```",,,,
,,,,
,,,,
"```
        A
       / \
      B   C
     /   / \
    D   E   F
       / \
      G   H
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"```
과목(과목번호, 과목명)
수강(수강번호, 학번, 과목번호, 학기)
```",,,,
,,,,
,,,,
"```
SELECT 가격 FROM 도서가격
WHERE 책번호 = (SELECT 책번호
FROM 도서 WHERE 책명='자료구조');

[도서] 
책번호   책명
111      운영체제
222      자료구조
333      컴퓨터구조

[도서가격]
책번호    가격
111      20,000
222      25,000
333      10,000
444      15,000
```",,,,
,,,,
,,,,
,,,,
"Ⓐ SELECT DEPT FROM STUDENT;
Ⓑ SELECT DISTINCT DEPT FROM STUDENT;",,,,
,,,,
트랜잭션의 연산은 데이터베이스에 모두 반영되든지 아니면 전혀 반영되지 않아야 한다.,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
후보키는 릴레이션에 있는 모든 튜플에 대해 유일성과 (    )을 모두 만족시켜야 한다.,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"<페이지 참조 열>

7, 0, 1, 2, 0, 3, 0, 4, 2, 3, 0, 3, 2, 1, 2, 0, 1, 7, 0",,,,
"```c
static int b[9] = {1, 2, 3};
```",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"- 오픈 소스를 기반으로 한 분산 컴퓨팅 플랫폼이다.
- 일반 PC급 컴퓨터들로 가상화된 대형 스토리지를 형성한다.
- 다양한 소스를 통해 생성된 빅데이터를 효율적으로 저장하고 처리한다.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"죄송하지만, 이미지에 대한 정보를 전달할 수 없습니다. 이 이미지와 관련되어 도움이 필요하시다면 다른 방식으로 도와드릴 수 있습니다.",,,,
,,,,
,,,,
"- 객체를 생성하기 위한 인터페이스를 정의하며 어떤 클래스가 인스턴스화 될 것인지는 서브 클래스가 결정하도록 하는 것
- Virtual-Constructor 패턴이라고도 함",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
