PB_ID,EX_ID,PB_NUM,PB_QUES,PB_DETAIL,PB_CHOI1,PB_CHOI2,PB_CHOI3,PB_CHOI4,PB_ANS,PB_SOLU,PB_CR,PB_TOPIC
1,1,1,검토회의 전에 요구사항 명세서를 미리 배포하여 사전 검토한 후 짧은 검토 회의를 통해 오류를 조기에 검출하는데 목적을 두는 요구 사항 검토 방법은?,,빌드 검증,동료 검토,워크 스루,개발자 검토,3,,82,
2,1,2,코드 설계에서 일정한 일련번호를 부여하는 방식의 코드는?,,연상 코드,블록 코드,순차 코드,표의 숫자 코드,3,,85,
3,1,3,객체지향 프로그램에서 데이터를 추상화하는 단위는?,,메소드,클래스,상속성,메시지,2,,83,
4,1,4,데이터 흐름도(DFD)의 구성요소에 포함되지 않는 것은?,,process,data flow,data store,data dictionary,4,,83,
5,1,5,소프트웨어 설계시 구축된 플랫폼의 성능특성 분석에 사용되는 측정 항목이 아닌 것은?,,응답시간(Response Time),가용성(Availability),사용률(Utilization),서버 튜닝(Server Tuning),4,,90,
6,1,6,UML 확장 모델에서 스테레오 타입 객체를 표현할 때 사용하는 기호로 맞는 것은?,,《 》,(( )),{{ }},[[ ]],1,,82,
7,1,7,GoF(Gang of Four)의 디자인 패턴에서 행위 패턴에 속하는 것은?,,Builder,Visitor,Prototype,Bridge,2,,65,
8,1,8,자료 사전에서 자료의 생략을 의미하는 기호는?,,{ },**,=,(　),4,,79,
9,1,9,트랜잭션이 올바르게 처리되고 있는지 데이터를 감시하고 제어하는 미들웨어는?,,RPC,ORB,TP monitor,HUB,3,,83,
10,1,10,UI 설계 원칙에서 누구나 쉽게 이해하고 사용할 수 있어야 한다는 것은?,,유효성,직관성,무결성,유연성,2,,91,
11,1,11,XP(eXtreme Programming)의 5가지 가치로 거리가 먼 것은?,,용기,의사소통,정형분석,피드백,3,,81,
12,1,12,UML 모델에서 사용하는 Structural Diagram 에 속하지 않은 것은?,,Class Diagram,Object Diagram,Component Diagram,Activity Diagram,4,,76,
13,1,13,소프트웨어 개발 방법 중 요구사항 분석(requirements annalysis)과 거리가 먼 것은?,,비용과 일정에 대한 제약설정,타당성 조사,요구사항 정의 문서화,설계 명세서 작성,4,,65,
14,1,14,럼바우(Rumbaugh)의 객체지향 분석 절차를 가장 바르게 나열한 것은?,,객체 모형→동적 모형→기능 모형,객체 모형→기능 모형→동적 모형,기능 모형→동적 모형→객체 모형,기능 모형→객체 모형→동적 모형,1,,86,
15,1,15,공통 모듈에 대한 명세 기법 중 해당 기능에 대해 일관되게 이해하고 한 가지로 해석될 수 있도록 작성하는 원칙은?,,상호작용성,명확성,독립성,내용성,2,,86,
16,1,16,객체지향 기법에서 클래스들 사이의 ‘부분-전체(part-whole)' 관계 또는 ’부분(is-a-part-of)'의 관계로 설명되는 연관성을 나타내는 용어는?,,일반화,추상화,캡슐화,집단화,4,,63,
17,1,17,CASE가 갖고 있는 주요 기능이 아닌 것은?,,그래픽 지원,소프트웨어 생명주기 전 단계의 연결,언어번역,다양한 소프트웨어 개발 모형 지원,3,,84,
18,1,18,DBMS 분석시 고려사항으로 거리가 먼 것은?,,가용성,성능,네트워크 구성도,상호 호환성,3,,83,
19,1,19,HIPO(Hierarchy Input Process Output)에 대한 설명으로 거리가 먼 것은?,,상향식 소프트웨어 개발을 위한 문서화 도구이다.,"HIPO 차트 종류에는 가시적 도표, 총체적 도표, 세부적 도표가 있다.",기능과 자료의 의존 관계를 동시에 표현할 수 있다.,보기 쉽고 이해하기 쉽다.,1,,78,
