PB_ID,EX_ID,PB_NUM,PB_QUES,PB_DETAIL,PB_CHOI1,PB_CHOI2,PB_CHOI3,PB_CHOI4,PB_ANS,PB_SOLU,PB_CR,PB_TOPIC
,7,1,User Interface 설계 시 오류 메시지나 경고에 관한 지침으로 가장 거리가 먼 것은?,,메시지는 이해하기 쉬워야 한다.,오류로부터 회복을 위한 구체적인 설명이 제공되어야 한다.,오류로 인해 발생 될 수 있는 부정적인 내용을 적극적으로 사용자들에게 알려야 한다.,소리나 색의 사용을 줄이고 텍스트로만 전달하도록 한다.,4,,87,
,7,2,다음 중 애자일(Agile) 소프트웨어 개발에 대한 설명으로 틀린 것은?,,공정과 도구보다 개인과의 상호작용을 더 가치 있게 여긴다.,동작하는 소프트웨어보다는 포괄적인 문서를 가치 있게 여긴다.,계약 협상보다는 고객과의 협력을 가치 있게 여긴다.,계획을 따르기보다 변화에 대응하기를 가치 있게 여긴다.,2,,87,
,7,3,소프트웨어 설계에서 요구사항 분석에 대한 설명으로 틀린 것은?,,소프트웨어가 무엇을 해야하는가를 추적하여 요구사항 명세를 작성하는 작업이다.,사용자의 요구를 추출하여 목표를 정하고 어떤 방식으로 해결할 것인지 결정하는 단계이다.,소프트웨어 시스템이 사용되는 동안 발견되는 오류를 정리하는 단계이다.,소프트웨어 개발의 출발점이면서 실질적인 첫 번째 단계이다.,3,,84,
,7,4,객체지향 기법에서 상위 클래스의 메소드와 속성을 하위 클래스가 물려받는 것을 의미하는 것은?,,Abstraction,Polymorphism,Encapsulation,Inheritance,4,,78,
,7,5,설계 기법 중 하향식 설계 방법과 상향식 설계 방법에 대한 비교 설명으로 가장 옳지 않은 것은?,,하향식 설계에서는 통합 검사 시 인터페이스가 이미 정의되어 있어 통합이 간단하다.,하향식 설계에서 레벨이 낮은 데이터 구조의 세부 사항은 설계초기 단계에서 필요하다.,상향식 설계는 최하위 수준에서 각각의 모듈들을 설계하고 이러한 모듈이 완성되면 이들을 결합하여 검사한다.,상향식 설계에서는 인터페이스가 이미 성립되어 있지 않더라도 기능 추가가 쉽다.,4,,55,
,7,6,자료흐름도(DFD)의 각 요소별 표기 형태의 연결이 옳지 않은 것은?,,Process : 원,Data Flow : 화살표,Data Store : 삼각형,Terminator : 사각형,3,,80,
,7,7,소프트웨어 개발에 이용되는 모델(Model)에 대한 설명 중 거리가 먼 것은?,,모델은 개발 대상을 추상화하고 기호나 그림 등으로 시각적으로 표현한다.,모델을 통해 소프트웨어에 대한 이해도를 향상시킬 수 있다.,모델을 통해 이해 당사자 간의 의사소통이 향상된다.,모델을 통해 향후 개발될 시스템의 유추는 불가능하다.,4,,88,
,7,8,다음의 설명에 해당하는 언어는?,https://www.cbtbank.kr/images/iz/iz20220305/iz20220305m8.gif,JAVA,C,UML,Python,3,,79,
,7,9,다음 내용이 설명하는 UI설계 도구는?,https://www.cbtbank.kr/images/iz/iz20220305/iz20220305m9.gif,스토리보드(Storyboard),목업(Mockup),프로토타입(Prototype),유스케이스(Usecase),2,,67,
,7,10,애자일(Agile) 기법 중 스크럼(Scrum)과 관련된 용어에 대한 설명이 틀린 것은?,,"스크럼 마스터(Scrum Master)는 스크럼 프로세스를 따르고, 팀이 스크럼을 효과적으로 활용할 수 있도록 보장하는 역할 등을 맡는다.","제품 백로그(Product Backlog)는 스크럼 팀이 해결해야 하는 목록으로 소프트웨어 요구사항, 아키텍처 정의 등이 포함될 수 있다.",스프린트(Sprint)는 하나의 완성된 최종 결과물을 만들기 위한 주기로 3달 이상의 장기간으로 결정된다.,속도(Velocity)는 한 번의 스프린트에서 한 팀이 어느 정도의 제품 백로그를 감당할 수 있는지에 대한 추정치로 볼 수 있다.,3,,79,
,7,11,UML 다이어그램 중 정적 다이어그램이 아닌 것은?,,컴포넌트 다이어그램,배치 다이어그램,순차 다이어그램,패키지 다이어그램,3,,66,
,7,12,"LOC기법에 의하여 예측된 총 라인수가 36000라인, 개발에 참여할 프로그래머가 6명, 프로그래머들의 평균 생산성이 월간 300라인일 때 개발에 소요되는 기간을 계산한 결과로 가장 옳은 것은?",,5개월,10개월,15개월,20개월,4,,87,
,7,13,클래스 설계원칙에 대한 바른 설명은?,,단일 책임원칙 : 하나의 클래스만 변경 가능 해야한다.,개방-폐쇄의 원칙 : 클래스는 확장에 대해 열려 있어야 하며 변경에 대해 닫혀 있어야 한다.,리스코프 교체의 원칙 : 여러 개의 책임을 가진 클래스는 하나의 책임을 가진 클래스로 대체되어야 한다.,의존관계 역전의 원칙 : 클라이언트는 자신이 사용하는 메소드와 의존관계를 갖지 않도록 해야 한다.,2,,58,
,7,14,GoF(Gangs of Four) 디자인 패턴에서 생성(Creational) 패턴에 해당하는 것은?,,컴퍼지트(Composite),어댑터(Adapter),추상 팩토리(Abstract Factory),옵서버(Observer),3,,65,
,7,15,아키텍처 설계과정이 올바른 순서로 나열된 것은?,https://www.cbtbank.kr/images/iz/iz20220305/iz20220305m15.gif,㉮ → ㉯ → ㉰ → ㉱ → ㉲,㉲ → ㉮ → ㉯ → ㉱ → ㉰,㉮ → ㉲ → ㉯ → ㉱ → ㉰,㉮ → ㉯ → ㉰ → ㉲ → ㉱,1,,62,
,7,16,사용자 인터페이스를 설계할 경우 고려해야 할 가이드라인과 가장 거리가 먼 것은?,,심미성을 사용성보다 우선하여 설계해야 한다.,효율성을 높이게 설계해야 한다.,발생하는 오류를 쉽게 수정할 수 있어야 한다.,사용자에게 피드백을 제공해야 한다.,1,,85,
,7,17,소프트웨어 설계에서 자주 발생하는 문제에 대한 일반적이고 반복적인 해결 방법을 무엇이라고 하는가?,,모듈 분해,디자인 패턴,연관 관계,클래스 도출,2,,68,
,7,18,"객체지향 분석기법의 하나로 객체 모형, 동적 모형, 기능 모형의 3개 모형을 생성하는 방법은?",,Wirfs-Block Method,Rumbaugh Method,Booch Method,Jacobson Method,2,,80,
,7,19,입력되는 데이터를 컴퓨터의 프로세서가 처리하기 전에 미리 처리하여 프로세서가 처리하는 시간을 줄여주는 프로그램이나 하드웨어를 말하는 것은?,,EAI,FEP,GPL,Duplexing,2,,45,
,7,20,객체 지향 개념 중 하나 이상의 유사한 객체들을 묶어 공통된 특성을 표현한 데이터 추상화를 의미하는 것은?,,Method,Class,Field,Message,2,,82,
,7,21,클린 코드(Clean Code)를 작성하기 위한 원칙으로 틀린 것은?,,"추상화 : 하위 클래스/메소드/함수를 통해 애플리케이션의 특성을 간략하게 나타내고, 상세 내용은 상위 클래스/메소드/함수에서 구현한다.",의존성 : 다른 모듈에 미치는 영향을 최소화하도록 작성한다.,가독성 : 누구든지 읽기 쉽게 코드를 작성한다.,중복성 : 중복을 최소화 할 수 있는 코드를 작성한다.,1,,73,
,7,22,"단위 테스트에서 테스트의 대상이 되는 하위 모듈을 호출하고, 파라미터를 전달하는 가상의 모듈로 상향식 테스트에 필요한 것은?",,테스트 스텁(Test Stub),테스트 드라이버(Test Driver),테스트 슈트(Test Suites),테스트 케이스(Test Case),2,,61,
,7,23,스택(Stack)에 대한 옳은 내용으로만 나열된 것은?,https://www.cbtbank.kr/images/iz/iz20220305/iz20220305m23.gif,"㉠, ㉡","㉡, ㉢",㉣,"㉠, ㉡, ㉢, ㉣",3,,67,
,7,24,소프트웨어 모듈화의 장점이 아닌 것은?,,오류의 파급 효과를 최소화한다.,기능의 분리가 가능하여 인터페이스가 복잡하다.,모듈의 재사용 가능으로 개발과 유지보수가 용이하다.,프로그램의 효율적인 관리가 가능하다.,2,,85,
,7,25,소프트웨어 프로젝트 관리에 대한 설명으로 가장 옳은 것은?,,개발에 따른 산출물 관리,소요인력은 최대화하되 정책 결정은 신속하게 처리,주어진 기간은 연장하되 최소의 비용으로 시스템을 개발,주어진 기간 내에 최소의 비용으로 사용자를 만족시키는 시스템을 개발,4,,73,
,7,26,정형 기술 검토(FTR)의 지침으로 틀린 것은?,,의제를 제한한다.,논쟁과 반박을 제한한다.,문제 영역을 명확히 표현한다.,참가자의 수를 제한하지 않는다.,4,,65,
,7,27,소프트웨어 재공학의 주요 활동 중 기존 소프트웨어 시스템을 새로운 기술 또는 하드웨어 환경에서 사용할 수 있도록 변환하는 작업을 의미하는 것은?,,Analysis,Migration,Restructuring,Reverse Engineering,2,,48,
,7,28,정보시스템 개발 단계에서 프로그래밍 언어 선택 시 고려할 사항으로 가장 거리가 먼 것은?,,개발 정보시스템의 특성,사용자의 요구사항,컴파일러의 가용성,컴파일러의 독창성,4,,78,
,7,29,소프트웨어 패키징에 대한 설명으로 틀린 것은?,,패키징은 개발자 중심으로 진행한다.,"신규 및 변경 개발소스를 식별하고, 이를 모듈화하여 상용제품으로 패키징한다.",고객의 편의성을 위해 매뉴얼 및 버전관리를 지속적으로 한다.,범용 환경에서 사용이 가능하도록 일반적인 배포 형태로 패키징이 진행된다.,1,,82,
,7,30,자료 구조의 분류 중 선형 구조가 아닌 것은?,,트리,리스트,스택,데크,1,,73,
,7,31,아주 오래되거나 참고문서 또는 개발자가 없어 유지보수 작업이 아주 어려운 프로그램을 의미하는 것은?,,Title Code,Source Code,Object Code,Alien Code,4,,84,
,7,32,소프트웨어를 재사용함으로써 얻을 수 있는 이점으로 가장 거리가 먼 것은?,,생산성 증가,프로젝트 문서 공유,소프트웨어 품질 향상,새로운 개발 방법론 도입 용이,4,,72,
,7,33,인터페이스 간의 통신을 위해 이용되는 데이터 포맷이 아닌 것은?,,AJTML,JSON,XML,YAML,1,,43,
,7,34,프로그램 설계도의 하나인 NS Chart에 대한 설명으로 가장 거리가 먼 것은?,,논리의 기술에 중점을 두고 도형을 이용한 표현 방법이다.,이해하기 쉽고 코드 변환이 용이하다.,화살표나 GOTO를 사용하여 이해하기 쉽다.,"연속, 선택, 반복 등의 제어 논리 구조를 표현한다.",3,,55,
,7,35,"순서가 A, B, C, D로 정해진 입력자료를 push, push, pop, push, push, pop, pop, pop 순서로 스택연산을 수행하는 경우 출력 결과는?",,B D C A,A B C D,B A C D,A B D C,1,,68,
,7,36,분할 정복(Divide and Conquer)에 기반한 알고리즘으로 피벗(pivot)을 사용하며 최악의 경우 회의 비교를 수행해야 하는 정렬(Sort)은?,https://www.cbtbank.kr/images/iz/iz20220305/iz20220305m36m1.gif,Selection Sort,Bubble Sort,Insert Sort,Quick Sort,4,,53,
,7,37,화이트 박스 검사 기법에 해당하는 것으로만 짝지어진 것은?,https://www.cbtbank.kr/images/iz/iz20220305/iz20220305m37.gif,"㉠, ㉡","㉠, ㉣","㉡, ㉤","㉢, ㉥",1,,67,
,7,38,소프트웨어 품질 관련 국제 표준인 ISO/IEC 25000에 관한 설명으로 옳지 않은 것은?,,소프트웨어 품질 평가를 위한 소프트웨어 품질평가 통합모델 표준이다.,System and Software Quality Requirements and Evaluation으로 줄여서 SQuaRE라고도 한다.,"ISO/IEC 2501n에서는 소프트웨어의 내부 측정, 외부측정, 사용품질 측정, 품질 측정 요소 등을 다룬다.",기존 소프트웨어 품질 평가 모델과 소프트웨어 평가 절차 모델인 ISO/IEC 9126과 ISO/IEC 14598을 통합하였다.,3,,47,
,7,39,코드 인스펙션과 관련한 설명으로 틀린 것은?,,프로그램을 수행시켜보는 것 대신에 읽어보고 눈으로 확인하는 방법으로 볼 수 있다.,코드 품질 향상 기법 중 하나이다.,동적 테스트 시에만 활용하는 기법이다.,"결함과 함께 코딩 표준 준수 여부, 효율성 등의 다른 품질 이슈를 검사하기도 한다.",3,,69,
,7,40,"프로젝트에 내재된 위험 요소를 인식하고 그 영향을 분석하여 이를 관리하는 활동으로서, 프로젝트를 성공시키기 위하여 위험 요소를 사전에 예측, 대비하는 모든 기술과 활동을 포함하는 것은?",,Critical Path Method,Risk Analysis,Work Breakdown Structure,Waterfall Model,2,,78,
,7,41,데이터베이스 설계 단계 중 물리적 설계 시 고려 사항으로 적절하지 않은 것은?,,스키마의 평가 및 정제,응답 시간,저장 공간의 효율화,트랜잭션 처리량,1,,69,
,7,42,DELETE 명령에 대한 설명으로 틀린 것은?,,테이블의 행을 삭제할 때 사용한다.,WHERE 조건절이 없는 DELETE 명령을 수행하면 DROP TABLE 명령을 수행했을 때와 동일한 효과를 얻을 수 있다.,SQL을 사용 용도에 따라 분류할 경우 DML에 해당한다.,기본 사용 형식은 “DELETE FROM 테이블 [WHERE 조건];” 이다.,2,,70,
,7,43,"어떤 릴레이션 R의 모든 조인 종속성의 만족이 R의 후보 키를 통해서만 만족될 때, 이 릴레이션 R이 해당하는 정규형은?",,제5정규형,제4정규형,제3정규형,제1정규형,1,,61,
