PB_IDX,LI_IDX,EX_IDX,PB_NUM,PB_QUES,PB_DETAIL,PB_CHOI1,PB_CHOI2,PB_CHOI3,PB_CHOI4,PB_ANS,PB_SOLU,PB_CR,TOPIC_IDX
1,1,1,1,검토회의 전에 요구사항 명세서를 미리 배포하여 사전 검토한 후 짧은 검토 회의를 통해 오류를 조기에 검출하는데 목적을 두는 요구 사항 검토 방법은?,,빌드 검증,동료 검토,워크 스루,개발자 검토,3,"이 문제는 요구사항 검토 방법 중에서 검토회의 *전*에 미리 자료를 배포하고 사전 검토를 거친 후, 짧은 회의를 통해 오류를 조기에 발견하는 방법을 묻고 있습니다.  이는 효율적인 검토를 위해 사전 준비를 강조하는 방식입니다.  여러 요구사항 검토 방법 중에서,  회의 전에 자료를 미리 배포하여 참석자들이 충분히 검토할 시간을 갖도록 하고, 회의 자체는 짧게 진행하여 효율성을 높이는 방법은 바로 '워크스루'입니다.  워크스루는 참석자들이 미리 검토 자료를 숙지하고 회의에 참여하기 때문에, 회의 시간을 단축하고 효과적으로 오류를 발견할 수 있습니다.  다른 방법들은 이러한 사전 준비 과정과 짧은 회의 시간을 강조하지 않거나,  검토의 초점이 다릅니다. 따라서 요구사항 명세서를 미리 배포하여 사전 검토 후 짧은 검토 회의를 통해 오류를 조기에 발견하는 목적에 가장 부합하는 방법은 워크스루입니다.  마치 중요한 회의 전에 참석자들에게 자료를 미리 보내주고, 회의에서는 간략하게 질문과 답변을 통해 의견을 모으는 것과 같은 원리입니다.",82,2
2,1,1,2,코드 설계에서 일정한 일련번호를 부여하는 방식의 코드는?,,연상 코드,블록 코드,순차 코드,표의 숫자 코드,3,"코드 설계에서 일정한 일련번호를 부여하는 방식은 순차 코드입니다.  예를 들어, 상품에 1, 2, 3…과 같이 번호를 매기는 것을 생각해 보세요.  이처럼 순서대로 숫자를 부여하여 코드를 만드는 것이 순차 코드의 핵심입니다.  다른 코드 방식들은 각각 다른 특징을 가지고 있습니다. 연상 코드는 코드 자체가 의미를 가지도록 설계하는 방식이고, 블록 코드는 특정 범위의 숫자를 특정 의미를 가진 블록으로 묶어 사용하는 방식이며, 표의 숫자 코드는 표를 이용하여 코드를 부여하는 방식입니다.  하지만 문제에서 요구하는 '일정한 일련번호'라는 조건에 가장 잘 맞는 것은 순차적으로 숫자를 부여하는 순차 코드입니다.  따라서 정답은 순차 코드입니다.",85,6
3,1,1,3,객체지향 프로그램에서 데이터를 추상화하는 단위는?,,메소드,클래스,상속성,메시지,2,"객체지향 프로그래밍(OOP)에서 데이터를 추상화하는 기본 단위는 클래스입니다.  클래스는  데이터(멤버 변수, 속성)와 그 데이터를 처리하는 함수(메소드, 행위)를 하나의 묶음으로 정의한 것입니다.  예를 들어 ""강아지""라는 객체를 생각해봅시다. 강아지는 이름, 털 색깔, 나이와 같은 데이터(속성)를 가지고 있으며, 짖기, 뛰어놀기, 잠자기와 같은 행위(메소드)를 합니다.  객체지향 프로그래밍에서는 이러한 데이터와 행위를 하나의 클래스로 묶어서 관리합니다.  따라서 ""강아지"" 클래스는 강아지의 데이터와 행위를 모두 포함하는 추상화된 단위가 되는 것입니다.  메소드는 클래스 내부의 함수이고, 상속성은 클래스 간의 관계를 나타내는 개념이며, 메시지는 객체 간의 상호작용 방식을 나타내는 개념이므로 데이터 자체를 추상화하는 단위는 아닙니다.  클래스는 데이터와 기능을 하나로 묶어서 코드의 재사용성과 관리 효율성을 높여주는 핵심 개념입니다.  정보처리기사 공식 교재에서도 클래스가 객체지향 프로그래밍의 기본 구성 요소이자 데이터 추상화의 핵심 단위로 설명하고 있을 것입니다.",83,7
4,1,1,4,데이터 흐름도(DFD)의 구성요소에 포함되지 않는 것은?,,process,data flow,data store,data dictionary,4,"데이터 흐름도(DFD)는 시스템의 데이터 흐름을 그림으로 나타내는 기법입니다.  마치 물이 파이프를 통해 흐르는 것처럼, 데이터가 시스템 안에서 어떻게 이동하고 처리되는지를 시각적으로 보여주는 것이죠.  그 구성요소는 크게 세 가지로,  데이터가 처리되는 '프로세스(Process)', 데이터가 이동하는 '데이터 흐름(Data Flow)', 그리고 데이터가 저장되는 '데이터 저장소(Data Store)'가 있습니다.  반면 '데이터 사전(Data Dictionary)'은 DFD를 구성하는 요소가 아니고, DFD에 사용되는 데이터 요소들에 대한 상세한 설명(이름, 자료형, 의미 등)을 정의한 표와 같은 것입니다.  데이터 흐름도 자체를 구성하는 요소는 아니지만, DFD를 이해하고 해석하는 데 필수적인 보조적인 자료라고 할 수 있습니다.  따라서 DFD의 구성요소가 아닌 것은 데이터 사전입니다.  쉽게 말해, DFD는 시스템의 '데이터 흐름'을 보여주는 '지도'이고, 데이터 사전은 그 '지도'를 이해하는 데 필요한 '설명서'와 같은 역할을 합니다.",83,3
5,1,1,5,소프트웨어 설계시 구축된 플랫폼의 성능특성 분석에 사용되는 측정 항목이 아닌 것은?,,응답시간(Response Time),가용성(Availability),사용률(Utilization),서버 튜닝(Server Tuning),4,"소프트웨어 설계 시 구축된 플랫폼의 성능 특성을 분석하려면, 시스템의 반응 속도,  얼마나 자주 사용 가능한지, 그리고 시스템 자원의 사용 정도를 측정해야 합니다.  '응답시간'은 사용자가 요청을 보낸 후 시스템이 응답하는 데 걸리는 시간을 나타내고, '가용성'은 시스템이 얼마나 오랫동안 정상적으로 작동하는지를 나타내며, '사용률'은 CPU, 메모리, 네트워크 등 시스템 자원의 사용 정도를 나타냅니다.  반면 '서버 튜닝'은 시스템 성능을 향상시키기 위한 최적화 작업을 의미합니다.  즉, 서버 튜닝 자체는 성능 특성을 *측정*하는 항목이 아니라, 성능을 *개선*하기 위한 활동이기 때문에 플랫폼 성능 특성 분석에 사용되는 측정 항목이라고 할 수 없습니다.  플랫폼의 성능을 분석하기 위해서는 먼저 응답시간, 가용성, 사용률 등을 측정하고 그 결과를 바탕으로 서버 튜닝과 같은 최적화 작업을 진행하는 것이죠. 따라서 서버 튜닝은 성능 분석의 결과로 나오는 활동이지, 분석에 사용되는 측정 항목이 아닙니다.",90,1
6,1,1,6,UML 확장 모델에서 스테레오 타입 객체를 표현할 때 사용하는 기호로 맞는 것은?,,《 》,(( )),{{ }},[[ ]],1,"UML(Unified Modeling Language)은 소프트웨어 시스템을 시각적으로 표현하는 표준 모델링 언어입니다.  UML은 다양한 다이어그램을 제공하는데, 클래스 다이어그램에서 객체를 표현할 때는 일반적으로 사각형을 사용합니다.  하지만 UML은 확장 가능하도록 설계되어 있어, 기존 요소에 추가적인 정보를 덧붙일 수 있습니다. 이때 사용하는 것이 바로 '스테레오타입'입니다. 스테레오타입은 객체의 특별한 속성이나 역할을 나타내는 일종의 태그와 같은 역할을 합니다.  문제에서 묻고 있는 것은 UML 확장 모델에서 이러한 스테레오타입 객체를 표현하는 기호입니다.  스테레오타입은 일반적으로 꺾쇠괄호(`<< >>`)를 사용하여 표현합니다.  예를 들어, 특정 객체가 인터페이스 역할을 한다면 `<<interface>>` 와 같이 표현하는 것이죠.  따라서 꺾쇠괄호를 사용하는 것이 UML 확장 모델에서 스테레오타입 객체를 표현하는 표준적인 방법입니다.",82,2
7,1,1,7,GoF(Gang of Four)의 디자인 패턴에서 행위 패턴에 속하는 것은?,,Builder,Visitor,Prototype,Bridge,2,"GoF 디자인 패턴은 객체지향 설계에서 자주 발생하는 문제들을 해결하기 위한 디자인 패턴들을 모아놓은 책 ""Design Patterns: Elements of Reusable Object-Oriented Software""에서 제시된 23가지의 디자인 패턴들을 말합니다.  이 패턴들은 크게 생성 패턴, 구조 패턴, 행위 패턴으로 나뉘는데,  문제에서 묻고 있는 것은 행위 패턴에 속하는 패턴입니다.  행위 패턴은 객체나 클래스 사이의 알고리즘과 책임 분담을 다루는 패턴입니다.  제시된 선택지 중에서 Visitor 패턴은 객체 구조를 순회하며 각 객체에 대해 특정 작업을 수행하는 행위 패턴입니다.  즉, 객체 구조를 변경하지 않고도 새로운 동작을 추가할 수 있도록 해줍니다.  반면, 다른 선택지들은 객체 생성(Builder, Prototype)이나 클래스 구조(Bridge)에 초점을 맞춘 패턴들이기 때문에 행위 패턴에 속하지 않습니다. 따라서 Visitor 패턴이 정답입니다.  쉽게 말해, Visitor 패턴은 여러 종류의 객체들을 일관된 방식으로 처리해야 할 때 유용한 패턴입니다.  마치 다양한 종류의 과일을 한꺼번에 믹서에 갈아서 주스를 만드는 것과 같다고 생각하면 이해하기 쉬울 것입니다.  믹서(Visitor)가 다양한 과일(객체)들을 일관된 방식으로 처리(방문하여 작업 수행)하는 것이죠.",65,7
8,1,1,8,자료 사전에서 자료의 생략을 의미하는 기호는?,,{ },**,=,(　),4,"자료 사전에서 자료의 생략을 나타내는 기호는 괄호 안에 내용을 비워두는 것입니다.  데이터베이스나 프로그래밍에서 자료를 일시적으로 생략하거나, 아직 값이 정해지지 않은 경우, 혹은 값이 없음을 표현할 때 빈 괄호 `(　)`를 사용합니다.  다른 기호들은 각각 다른 의미를 가지고 있습니다.  `{}`는 집합을 나타내고, `**`는 보통 강조 표시를 위해 사용하며, `=`는 등호로 값의 대입이나 비교를 나타냅니다. 따라서 자료의 생략을 명확하게 표현하는 기호는 빈 괄호 `(　)`입니다.  이는 정보처리기사 공식 교재의 자료구조 및 데이터베이스 관련 내용에서 확인할 수 있습니다.  빈 괄호를 통해 데이터의 누락이나 미정의 상태를 명확하게 나타내어 데이터의 무결성을 유지하고 오류를 방지하는 데 중요한 역할을 합니다.",79,11
9,1,1,9,트랜잭션이 올바르게 처리되고 있는지 데이터를 감시하고 제어하는 미들웨어는?,,RPC,ORB,TP monitor,HUB,3,"이 문제는 트랜잭션 처리의 안정성과 신뢰성을 보장하는 미들웨어를 묻고 있습니다.  트랜잭션이란 여러 작업을 하나의 논리적 단위로 묶어서 처리하는 것을 말하는데, 예를 들어 은행 계좌 이체를 생각해 볼 수 있습니다.  돈을 보내는 계좌에서 돈을 빼고 받는 계좌에 돈을 넣는 두 작업은 반드시 함께 성공하거나 함께 실패해야 합니다.  만약 한 작업만 성공하고 다른 작업이 실패한다면 계좌 잔액이 맞지 않는 심각한 문제가 발생하겠죠.  이처럼 트랜잭션은 데이터의 일관성을 유지하는 데 매우 중요합니다.",83,10
10,1,1,10,UI 설계 원칙에서 누구나 쉽게 이해하고 사용할 수 있어야 한다는 것은?,,유효성,직관성,무결성,유연성,2,"UI 설계의 핵심 목표는 사용자가 시스템을 쉽고 편리하게 사용할 수 있도록 만드는 것입니다.  문제에서 제시된 내용은 사용자의 입장에서 시스템을 얼마나 쉽게 이해하고 사용할 수 있는지를 나타내는 중요한 요소를 묻고 있습니다.  ""누구나 쉽게 이해하고 사용할 수 있어야 한다""는 것은 바로 UI의 직관성을 의미합니다. 직관적인 UI는 사용자가 별도의 설명이나 학습 없이도 시스템의 기능을 쉽게 파악하고 사용할 수 있도록 디자인된 인터페이스를 말합니다.  예를 들어, 버튼의 위치나 아이콘의 의미가 명확하고, 사용자의 행동에 대한 시스템의 반응이 예측 가능하다면 이는 직관적인 UI라고 할 수 있습니다.  반면, 복잡한 메뉴 구조나 모호한 아이콘을 사용하는 UI는 직관적이지 않아 사용자에게 혼란을 야기할 수 있습니다. 따라서, 사용자 친화적인 UI를 설계하기 위해서는 직관성을 최우선적으로 고려해야 합니다.  다른 선택지들은 UI 설계에 중요한 요소이지만, 문제에서 제시된 ""누구나 쉽게 이해하고 사용할 수 있어야 한다""는 조건에 가장 잘 부합하는 것은 직관성입니다.",91,5
